DATE,BAMLEMCBPITRIV
2012-10-10,317.66
2012-10-11,318.21
2012-10-12,318.84
2012-10-15,319.31
2012-10-16,319.61
2012-10-17,319.77
2012-10-18,320.22
2012-10-19,320.43
2012-10-22,320.22
2012-10-23,319.80
2012-10-24,319.84
2012-10-25,319.60
2012-10-26,319.77
2012-10-29,319.97
2012-10-31,320.03
2012-11-01,319.80
2012-11-02,319.90
2012-11-05,320.33
2012-11-06,320.30
2012-11-07,320.93
2012-11-08,320.91
2012-11-09,320.40
2012-11-12,320.53
2012-11-13,320.13
2012-11-14,319.92
2012-11-15,319.45
2012-11-16,319.20
2012-11-19,319.29
2012-11-20,319.34
2012-11-21,319.35
2012-11-22,319.39
2012-11-23,319.54
2012-11-26,320.05
2012-11-27,320.77
2012-11-28,321.15
2012-11-29,321.64
2012-11-30,321.96
2012-12-03,322.15
2012-12-04,322.33
2012-12-05,322.54
2012-12-06,322.90
2012-12-07,322.71
2012-12-10,323.10
2012-12-11,323.19
2012-12-12,323.19
2012-12-13,323.19
2012-12-14,323.49
2012-12-17,323.36
2012-12-18,323.17
2012-12-19,323.66
2012-12-20,323.85
2012-12-21,324.21
2012-12-24,324.26
2012-12-26,324.34
2012-12-27,324.73
2012-12-28,324.92
2012-12-31,325.08
2013-01-02,325.32
2013-01-03,325.83
2013-01-04,326.20
2013-01-07,326.61
2013-01-08,326.66
2013-01-09,326.77
2013-01-10,326.86
2013-01-11,326.69
2013-01-14,326.86
2013-01-15,327.11
2013-01-16,327.36
2013-01-17,327.29
2013-01-18,327.39
2013-01-21,327.52
2013-01-22,327.59
2013-01-23,327.69
2013-01-24,327.66
2013-01-25,327.10
2013-01-28,326.80
2013-01-29,326.48
2013-01-30,325.74
2013-01-31,324.88
2013-02-01,324.76
2013-02-04,324.42
2013-02-05,324.06
2013-02-06,324.13
2013-02-07,324.35
2013-02-08,324.57
2013-02-11,324.66
2013-02-12,324.55
2013-02-13,324.34
2013-02-14,324.69
2013-02-15,324.77
2013-02-18,324.92
2013-02-19,324.96
2013-02-20,325.22
2013-02-21,325.02
2013-02-22,325.21
2013-02-25,325.81
2013-02-26,325.83
2013-02-27,325.87
2013-02-28,326.48
2013-03-01,326.68
2013-03-04,326.75
2013-03-05,327.05
2013-03-06,326.86
2013-03-07,326.72
2013-03-08,326.44
2013-03-11,326.49
2013-03-12,326.76
2013-03-13,326.75
2013-03-14,326.53
2013-03-15,326.67
2013-03-18,326.58
2013-03-19,326.71
2013-03-20,326.42
2013-03-21,326.27
2013-03-22,326.19
2013-03-25,326.53
2013-03-26,326.50
2013-03-27,326.44
2013-03-28,326.30
2013-03-31,326.40
2013-04-01,326.49
2013-04-02,326.64
2013-04-03,326.99
2013-04-04,327.87
2013-04-05,328.65
2013-04-08,329.08
2013-04-09,329.26
2013-04-10,329.07
2013-04-11,329.13
2013-04-12,329.38
2013-04-15,329.15
2013-04-16,328.75
2013-04-17,328.21
2013-04-18,328.22
2013-04-19,328.40
2013-04-22,328.74
2013-04-23,329.04
2013-04-24,329.37
2013-04-25,329.39
2013-04-26,329.55
2013-04-29,329.81
2013-04-30,330.39
2013-05-01,330.88
2013-05-02,331.38
2013-05-03,331.05
2013-05-06,331.13
2013-05-07,331.30
2013-05-08,331.43
2013-05-09,331.52
2013-05-10,330.83
2013-05-13,330.35
2013-05-14,330.29
2013-05-15,330.20
2013-05-16,330.57
2013-05-17,330.07
2013-05-20,329.88
2013-05-21,329.68
2013-05-22,329.30
2013-05-23,328.56
2013-05-24,328.21
2013-05-27,328.35
2013-05-28,327.17
2013-05-29,325.56
2013-05-30,325.16
2013-05-31,324.07
2013-06-03,323.30
2013-06-04,323.16
2013-06-05,322.13
2013-06-06,320.99
2013-06-07,320.51
2013-06-10,319.55
2013-06-11,317.26
2013-06-12,317.37
2013-06-13,318.02
2013-06-14,319.90
2013-06-17,320.05
2013-06-18,319.39
2013-06-19,318.33
2013-06-20,313.00
2013-06-21,311.38
2013-06-24,307.76
2013-06-25,308.51
2013-06-26,309.93
2013-06-27,311.61
2013-06-28,312.21
2013-06-30,312.30
2013-07-01,312.66
2013-07-02,313.45
2013-07-03,312.58
2013-07-04,312.67
2013-07-05,310.98
2013-07-08,310.95
2013-07-09,311.45
2013-07-10,310.99
2013-07-11,311.96
2013-07-12,312.29
2013-07-15,313.16
2013-07-16,314.19
2013-07-17,315.00
2013-07-18,316.03
2013-07-19,316.65
2013-07-22,317.34
2013-07-23,317.46
2013-07-24,316.52
2013-07-25,315.97
2013-07-26,315.97
2013-07-29,315.83
2013-07-30,315.64
2013-07-31,315.22
2013-08-01,314.56
2013-08-02,314.92
2013-08-05,315.07
2013-08-06,314.93
2013-08-07,315.00
2013-08-08,315.22
2013-08-09,315.43
2013-08-12,315.53
2013-08-13,314.99
2013-08-14,314.90
2013-08-15,314.18
2013-08-16,313.65
2013-08-19,312.57
2013-08-20,312.12
2013-08-21,311.23
2013-08-22,310.53
2013-08-23,311.24
2013-08-26,311.56
2013-08-27,311.76
2013-08-28,311.13
2013-08-29,311.20
2013-09-02,311.17
2013-09-03,310.65
2013-09-04,310.01
2013-09-05,309.17
2013-09-06,309.67
2013-09-09,310.58
2013-09-10,310.57
2013-09-11,311.34
2013-09-12,312.13
2013-09-13,312.36
2013-09-16,313.63
2013-09-17,313.85
2013-09-18,315.16
2013-09-19,317.06
2013-09-20,317.18
2013-09-23,317.28
2013-09-24,317.39
2013-09-25,317.64
2013-09-26,317.35
2013-09-27,317.21
2013-09-30,316.81
2013-10-01,316.80
2013-10-02,317.13
2013-10-03,317.22
2013-10-04,317.22
2013-10-07,317.57
2013-10-08,317.72
2013-10-09,317.83
2013-10-10,318.09
2013-10-11,318.44
2013-10-14,318.59
2013-10-15,318.67
2013-10-16,319.57
2013-10-17,320.63
2013-10-18,321.63
2013-10-21,321.87
2013-10-22,322.68
2013-10-23,323.20
2013-10-24,323.02
2013-10-25,323.14
2013-10-28,323.18
2013-10-29,323.15
2013-10-30,323.39
2013-10-31,323.42
2013-11-01,322.57
2013-11-04,322.36
2013-11-05,321.59
2013-11-06,321.38
2013-11-07,321.59
2013-11-08,320.38
2013-11-11,320.52
2013-11-12,319.04
2013-11-13,319.15
2013-11-14,319.93
2013-11-15,320.38
2013-11-18,321.31
2013-11-19,321.17
2013-11-20,320.78
2013-11-21,320.57
2013-11-22,320.95
2013-11-25,321.30
2013-11-26,321.64
2013-11-27,321.46
2013-11-28,321.51
2013-11-29,321.45
2013-11-30,321.50
2013-12-02,320.81
2013-12-03,320.84
2013-12-04,320.24
2013-12-05,320.16
2013-12-06,320.11
2013-12-09,320.69
2013-12-10,321.61
2013-12-11,321.44
2013-12-12,321.25
2013-12-13,321.54
2013-12-16,321.74
2013-12-17,321.93
2013-12-18,321.87
2013-12-19,321.85
2013-12-20,322.06
2013-12-23,322.21
2013-12-24,322.01
2013-12-26,322.04
2013-12-27,321.90
2013-12-30,322.24
2013-12-31,322.08
2014-01-02,322.17
2014-01-03,322.23
2014-01-06,322.77
2014-01-07,323.18
2014-01-08,322.78
2014-01-09,322.89
2014-01-10,323.46
2014-01-13,324.01
2014-01-14,324.00
2014-01-15,324.23
2014-01-16,324.54
2014-01-17,324.76
2014-01-20,324.92
2014-01-21,324.93
2014-01-22,324.56
2014-01-23,324.49
2014-01-24,323.62
2014-01-27,322.92
2014-01-28,323.27
2014-01-29,323.29
2014-01-30,322.84
2014-01-31,322.29
2014-02-03,322.57
2014-02-04,322.69
2014-02-05,322.99
2014-02-06,323.34
2014-02-07,323.82
2014-02-10,324.33
2014-02-11,324.43
2014-02-12,324.58
2014-02-13,324.73
2014-02-14,324.91
2014-02-17,325.08
2014-02-18,325.71
2014-02-19,325.54
2014-02-20,325.48
2014-02-21,325.89
2014-02-24,326.48
2014-02-25,327.01
2014-02-26,327.19
2014-02-27,327.66
2014-02-28,328.30
2014-03-03,327.26
2014-03-04,327.52
2014-03-05,327.78
2014-03-06,327.68
2014-03-07,327.09
2014-03-10,326.69
2014-03-11,326.91
2014-03-12,326.19
2014-03-13,326.19
2014-03-14,325.53
2014-03-17,325.73
2014-03-18,326.39
2014-03-19,326.47
2014-03-20,326.03
2014-03-21,326.17
2014-03-24,326.52
2014-03-25,326.95
2014-03-26,328.02
2014-03-27,328.96
2014-03-28,329.18
2014-03-31,329.58
2014-04-01,330.19
2014-04-02,330.05
2014-04-03,330.05
2014-04-04,330.76
2014-04-07,331.04
2014-04-08,331.49
2014-04-09,331.70
2014-04-10,332.42
2014-04-11,332.29
2014-04-14,331.94
2014-04-15,331.67
2014-04-16,331.64
2014-04-17,331.48
2014-04-21,331.79
2014-04-22,331.97
2014-04-23,332.08
2014-04-24,332.02
2014-04-25,331.47
2014-04-28,331.51
2014-04-29,331.79
2014-04-30,331.98
2014-05-01,332.53
2014-05-02,332.82
2014-05-05,332.89
2014-05-06,333.30
2014-05-07,333.98
2014-05-08,334.85
2014-05-09,334.80
2014-05-12,334.90
2014-05-13,335.53
2014-05-14,336.11
2014-05-15,336.63
2014-05-16,336.48
2014-05-19,336.64
2014-05-20,336.88
2014-05-21,336.93
2014-05-22,337.00
2014-05-23,337.50
2014-05-26,337.67
2014-05-27,338.14
2014-05-28,339.27
2014-05-29,339.88
2014-05-30,339.94
2014-05-31,339.98
2014-06-02,339.74
2014-06-03,339.25
2014-06-04,339.12
2014-06-05,339.45
2014-06-06,340.54
2014-06-09,341.20
2014-06-10,341.03
2014-06-11,340.63
2014-06-12,340.77
2014-06-13,340.51
2014-06-16,340.16
2014-06-17,339.72
2014-06-18,340.11
2014-06-19,340.75
2014-06-20,340.91
2014-06-23,341.22
2014-06-24,341.91
2014-06-25,342.11
2014-06-26,342.44
2014-06-27,342.38
2014-06-30,342.49
2014-07-01,342.20
2014-07-02,341.92
2014-07-03,341.90
2014-07-04,341.96
2014-07-07,342.40
2014-07-08,343.00
2014-07-09,343.33
2014-07-10,343.18
2014-07-11,343.32
2014-07-14,343.30
2014-07-15,343.26
2014-07-16,343.21
2014-07-17,342.71
2014-07-18,342.51
2014-07-21,342.20
2014-07-22,342.52
2014-07-23,343.05
2014-07-24,343.03
2014-07-25,342.76
2014-07-28,342.29
2014-07-29,342.12
2014-07-30,341.73
2014-07-31,341.44
2014-08-01,340.84
2014-08-04,340.82
2014-08-05,340.45
2014-08-06,339.73
2014-08-07,339.85
2014-08-08,339.54
2014-08-11,340.26
2014-08-12,340.66
2014-08-13,341.48
2014-08-14,342.19
2014-08-15,342.85
2014-08-18,343.09
2014-08-19,343.45
2014-08-20,343.26
2014-08-21,343.55
2014-08-22,343.65
2014-08-25,343.86
2014-08-26,344.36
2014-08-27,344.95
2014-08-28,344.74
2014-08-29,344.39
2014-08-31,344.45
2014-09-01,344.47
2014-09-02,343.64
2014-09-03,344.23
2014-09-04,344.29
2014-09-05,344.15
2014-09-08,343.91
2014-09-09,343.63
2014-09-10,342.91
2014-09-11,342.98
2014-09-12,342.16
2014-09-15,341.93
2014-09-16,341.74
2014-09-17,341.59
2014-09-18,341.48
2014-09-19,342.02
2014-09-22,342.44
2014-09-23,342.52
2014-09-24,342.56
2014-09-25,342.60
2014-09-26,341.92
2014-09-29,341.18
2014-09-30,340.81
2014-10-01,341.22
2014-10-02,340.98
2014-10-03,341.21
2014-10-06,341.71
2014-10-07,342.18
2014-10-08,342.14
2014-10-09,342.40
2014-10-10,341.77
2014-10-13,341.89
2014-10-14,342.19
2014-10-15,341.90
2014-10-16,341.25
2014-10-17,341.82
2014-10-20,342.19
2014-10-21,342.31
2014-10-22,342.60
2014-10-23,342.42
2014-10-24,342.45
2014-10-27,342.80
2014-10-28,343.17
2014-10-29,343.29
2014-10-30,343.71
2014-10-31,343.81
2014-11-03,343.91
2014-11-04,343.27
2014-11-05,343.16
2014-11-06,342.70
2014-11-07,342.51
2014-11-10,342.51
2014-11-11,342.58
2014-11-12,342.47
2014-11-13,342.37
2014-11-14,341.54
2014-11-17,340.75
2014-11-18,340.86
2014-11-19,340.54
2014-11-20,340.46
2014-11-21,341.29
2014-11-24,341.68
2014-11-25,341.94
2014-11-26,342.06
2014-11-27,342.12
2014-11-28,342.08
2014-11-30,342.18
2014-12-01,340.83
2014-12-02,340.00
2014-12-03,339.36
2014-12-04,339.06
2014-12-05,338.01
2014-12-08,336.91
2014-12-09,335.34
2014-12-10,334.37
2014-12-11,333.61
2014-12-12,331.89
2014-12-15,329.29
2014-12-16,326.46
2014-12-17,328.14
2014-12-18,330.68
2014-12-19,332.09
2014-12-22,333.32
2014-12-23,333.17
2014-12-24,333.13
2014-12-26,333.23
2014-12-29,333.55
2014-12-30,333.55
2014-12-31,333.64
2015-01-02,333.63
2015-01-05,332.71
2015-01-06,331.09
2015-01-07,331.63
2015-01-08,332.53
2015-01-09,332.57
2015-01-12,332.59
2015-01-13,332.26
2015-01-14,332.21
2015-01-15,332.94
2015-01-19,332.64
2015-01-20,332.89
2015-01-21,332.68
2015-01-22,333.03
2015-01-23,334.72
2015-01-26,334.59
2015-01-27,334.37
2015-01-28,335.24
2015-01-29,334.66
2015-01-30,334.32
2015-01-31,334.36
2015-02-02,334.61
2015-02-03,334.94
2015-02-04,335.40
2015-02-05,335.88
2015-02-06,335.75
2015-02-09,335.89
2015-02-10,335.15
2015-02-11,335.04
2015-02-12,335.86
2015-02-13,336.78
2015-02-16,336.95
2015-02-17,336.67
2015-02-18,337.72
2015-02-19,337.19
2015-02-20,337.07
2015-02-23,337.19
2015-02-24,338.05
2015-02-25,338.27
2015-02-26,338.59
2015-02-27,339.00
2015-02-28,339.15
2015-03-02,339.03
2015-03-03,339.50
2015-03-04,339.39
2015-03-05,339.78
2015-03-06,339.22
2015-03-09,338.81
2015-03-10,338.28
2015-03-11,338.10
2015-03-12,338.56
2015-03-13,337.65
2015-03-16,336.77
2015-03-17,336.26
2015-03-18,336.81
2015-03-19,337.57
2015-03-20,338.72
2015-03-23,339.69
2015-03-24,340.57
2015-03-25,340.85
2015-03-26,340.28
2015-03-27,340.74
2015-03-30,340.88
2015-03-31,341.17
2015-04-01,342.09
2015-04-02,342.74
2015-04-06,343.02
2015-04-07,343.85
2015-04-08,344.77
2015-04-09,345.35
2015-04-10,345.80
2015-04-13,346.33
2015-04-14,346.84
2015-04-15,347.10
2015-04-16,347.27
2015-04-17,347.10
2015-04-20,346.73
2015-04-21,346.59
2015-04-22,346.76
2015-04-23,347.62
2015-04-24,348.49
2015-04-27,348.91
2015-04-28,348.44
2015-04-29,348.01
2015-04-30,347.91
2015-05-01,347.30
2015-05-04,347.34
2015-05-05,347.14
2015-05-06,347.10
2015-05-07,346.84
2015-05-08,347.64
2015-05-11,347.47
2015-05-12,346.92
2015-05-13,347.48
2015-05-14,347.84
2015-05-15,348.63
2015-05-18,348.81
2015-05-19,348.31
2015-05-20,348.33
2015-05-21,349.00
2015-05-22,349.05
2015-05-26,349.52
2015-05-27,349.31
2015-05-28,349.07
2015-05-29,349.03
2015-05-31,349.08
2015-06-01,348.13
2015-06-02,347.66
2015-06-03,346.99
2015-06-04,346.59
2015-06-05,345.69
2015-06-08,345.29
2015-06-09,344.84
2015-06-10,344.18
2015-06-11,344.57
2015-06-12,344.91
2015-06-15,344.88
2015-06-16,344.57
2015-06-17,344.79
2015-06-18,345.05
2015-06-19,345.51
2015-06-22,345.50
2015-06-23,345.70
2015-06-24,346.20
2015-06-25,345.95
2015-06-26,345.29
2015-06-29,345.12
2015-06-30,345.11
2015-07-01,345.05
2015-07-02,345.33
2015-07-03,345.40
2015-07-06,345.88
2015-07-07,345.56
2015-07-08,345.29
2015-07-09,344.80
2015-07-10,344.67
2015-07-13,344.96
2015-07-14,345.15
2015-07-15,345.46
2015-07-16,345.87
2015-07-17,346.08
2015-07-20,346.04
2015-07-21,346.02
2015-07-22,346.01
2015-07-23,345.72
2015-07-24,345.11
2015-07-27,344.28
2015-07-28,344.09
2015-07-29,344.47
2015-07-30,344.91
2015-07-31,345.35
2015-08-03,345.48
2015-08-04,345.09
2015-08-05,344.61
2015-08-06,343.87
2015-08-07,343.80
2015-08-10,343.62
2015-08-11,344.02
2015-08-12,343.92
2015-08-13,343.58
2015-08-14,343.34
2015-08-17,343.44
2015-08-18,342.97
2015-08-19,342.56
2015-08-20,341.75
2015-08-21,341.01
2015-08-24,338.84
2015-08-25,338.65
2015-08-26,338.09
2015-08-27,339.63
2015-08-28,340.24
2015-08-31,340.20
2015-09-01,339.99
2015-09-02,339.50
2015-09-03,339.59
2015-09-04,339.74
2015-09-07,339.85
2015-09-08,339.31
2015-09-09,339.55
2015-09-10,338.95
2015-09-11,338.79
2015-09-14,338.68
2015-09-15,338.62
2015-09-16,338.60
2015-09-17,339.05
2015-09-18,339.92
2015-09-21,339.33
2015-09-22,338.09
2015-09-23,337.58
2015-09-24,335.91
2015-09-25,335.73
2015-09-28,334.76
2015-09-29,333.74
2015-09-30,334.60
2015-10-01,335.49
2015-10-02,335.99
2015-10-05,337.46
2015-10-06,338.63
2015-10-07,339.54
2015-10-08,339.31
2015-10-09,340.32
2015-10-12,340.52
2015-10-13,340.84
2015-10-14,340.79
2015-10-15,341.33
2015-10-16,342.13
2015-10-19,342.32
2015-10-20,342.17
2015-10-21,341.90
2015-10-22,342.26
2015-10-23,342.87
2015-10-26,343.71
2015-10-27,343.70
2015-10-28,343.63
2015-10-29,343.18
2015-10-30,343.36
2015-10-31,343.39
2015-11-02,343.61
2015-11-03,344.39
2015-11-04,345.16
2015-11-05,345.05
2015-11-06,344.18
2015-11-09,343.34
2015-11-10,343.02
2015-11-11,343.07
2015-11-12,342.82
2015-11-13,342.38
2015-11-16,342.38
2015-11-17,342.82
2015-11-18,343.01
2015-11-19,343.72
2015-11-20,344.13
2015-11-23,344.21
2015-11-24,344.12
2015-11-25,343.61
2015-11-26,343.60
2015-11-27,343.58
2015-11-30,342.89
2015-12-01,342.56
2015-12-02,342.32
2015-12-03,341.33
2015-12-04,341.06
2015-12-07,341.03
2015-12-08,340.04
2015-12-09,340.07
2015-12-10,339.29
2015-12-11,338.05
2015-12-14,336.88
2015-12-15,337.23
2015-12-16,336.87
2015-12-17,337.75
2015-12-18,337.40
2015-12-21,337.06
2015-12-22,337.14
2015-12-23,337.22
2015-12-24,337.24
2015-12-28,337.52
2015-12-29,337.55
2015-12-30,337.39
2015-12-31,337.33
2016-01-04,337.83
2016-01-05,338.26
2016-01-06,338.64
2016-01-07,338.19
2016-01-08,338.07
2016-01-11,337.73
2016-01-12,337.01
2016-01-13,336.55
2016-01-14,335.68
2016-01-15,334.63
2016-01-18,334.65
2016-01-19,334.54
2016-01-20,333.63
2016-01-21,333.40
2016-01-22,334.45
2016-01-25,334.55
2016-01-26,334.74
2016-01-27,335.23
2016-01-28,336.06
2016-01-29,336.96
2016-01-31,337.01
2016-02-01,336.86
2016-02-02,336.61
2016-02-03,336.73
2016-02-04,337.54
2016-02-05,337.92
2016-02-08,337.92
2016-02-09,337.61
2016-02-10,337.45
2016-02-11,336.53
2016-02-12,336.03
2016-02-15,336.23
2016-02-16,336.66
2016-02-17,337.90
2016-02-18,338.37
2016-02-19,338.65
2016-02-22,339.36
2016-02-23,339.71
2016-02-24,339.63
2016-02-25,339.69
2016-02-26,339.77
2016-02-29,340.16
2016-03-01,340.71
2016-03-02,341.49
2016-03-03,342.38
2016-03-04,343.66
2016-03-07,343.84
2016-03-08,343.89
2016-03-09,343.92
2016-03-10,344.37
2016-03-11,344.94
2016-03-14,345.48
2016-03-15,344.91
2016-03-16,344.93
2016-03-17,346.95
2016-03-18,348.13
2016-03-21,348.39
2016-03-22,348.53
2016-03-23,348.32
2016-03-24,347.80
2016-03-28,348.05
2016-03-29,348.43
2016-03-30,349.54
2016-03-31,350.34
2016-04-01,350.34
2016-04-04,350.75
2016-04-05,350.40
2016-04-06,350.56
2016-04-07,350.54
2016-04-08,350.83
2016-04-11,351.41
2016-04-12,351.83
2016-04-13,353.13
2016-04-14,354.06
2016-04-15,354.07
2016-04-18,354.09
2016-04-19,354.90
2016-04-20,355.22
2016-04-21,355.17
2016-04-22,354.82
2016-04-25,354.47
2016-04-26,354.24
2016-04-27,354.85
2016-04-28,356.11
2016-04-29,356.25
2016-04-30,356.30
2016-05-02,356.30
2016-05-03,356.03
2016-05-04,355.72
2016-05-05,355.95
2016-05-06,356.02
2016-05-09,356.01
2016-05-10,356.36
2016-05-11,356.94
2016-05-12,357.34
2016-05-13,357.76
2016-05-16,357.69
2016-05-17,357.77
2016-05-18,357.11
2016-05-19,355.87
2016-05-20,356.26
2016-05-23,356.25
2016-05-24,356.50
2016-05-25,356.62
2016-05-26,356.83
2016-05-27,356.94
2016-05-30,357.04
2016-05-31,356.86
2016-06-01,356.84
2016-06-02,357.39
2016-06-03,358.69
2016-06-06,359.64
2016-06-07,360.40
2016-06-08,361.13
2016-06-09,361.16
2016-06-10,360.9
2016-06-13,360.58
2016-06-14,359.83
2016-06-15,359.76
2016-06-16,360.05
2016-06-17,360.28
2016-06-20,360.88
2016-06-21,360.88
2016-06-22,361.31
2016-06-23,361.9
2016-06-24,361.63
2016-06-27,361.71
2016-06-28,362.38
2016-06-29,363.97
2016-06-30,364.31
2016-07-01,365.75
2016-07-04,365.94
2016-07-05,366.82
2016-07-06,366.88
2016-07-07,367.17
2016-07-08,367.79
2016-07-11,368.6
2016-07-12,368.58
2016-07-13,369.11
2016-07-14,369.02
2016-07-15,368.84
2016-07-18,368.74
2016-07-19,369.05
2016-07-20,369.05
2016-07-21,368.92
2016-07-22,369.33
2016-07-25,369.58
2016-07-26,369.31
